"proglin 11a1","alpha_i(x)"
"proglin 11a2","matrice alpha_i"
"proglin 11b1","déf rg lignes"
"proglin 11b2","déf rg colonnes"
"proglin 11b3","rg lignes = rg colonnes avec démo"
"proglin 11c1","rg(A) = m"
"proglin 11c2","(alpha_1; ...) libre"
"proglin 12a1","TBI ds dual R^n"
"proglin 12b","intersection noyaux pr base dual"
"proglin 12c1","surjectives"
"proglin 12c2","dim S = n - m"
"proglin 13a1","S(imp)inter S(cal) vide"
"proglin 13a2","gamma >0 dans Scal+"
"proglin 13b","Scal affine dir Simp"
"proglin 13c","Scal+ convexe"
"proglin 14a1","Mat_X(v_k) = v_k"
"proglin 14a2","passage de X à B"
"proglin 14b","Matrice dans B de v_k"
"proglin 211","m+ >=0 m- >=0"
"proglin 212","m+>0 <=> J+(u) ds J(x)"
"proglin 213","m->0 <=> J-(u) ds J(x)"
"proglin 22","x + lu ds Scal"
"proglin 23a1","[-m+ ; m-]"
"proglin 23a2","[-m+ ; + infty["
"proglin 23a3","]- infty ; m-]"
"proglin 23b","min I ou max I = 0 <=> ..."
"proglin 31a","(v_j; j in J(u)) liée"
"proglin 31b","(v_j; j in J) liée => exist u in S J(u) in J"
"proglin 32a","(min ou max I = 0) FAUX <=> .."
"proglin 32b","équiv 3 prop"
"proglin 32c","x extrm <=> (v_j; j in J(x)) libre"
"proglin 33","x extrm => exist J tq ...base"
"proglin 41a","xnon extr => liée => exist j ..."
"proglin 41b1","m+ et m- >0"
"proglin 41b2","ccl avec min I < 0 < max I"
"proglin 42a","u  non nul in Simp"
"proglin 42b1","J(u) = J(x) u {k}"
"proglin 42b2","m+ = 0"
"proglin 42b3","m- = theta > 0"
"proglin 42c","y= x+ thetau ext in Scal+"
"proglin 43","gamma(y) < gamma(x) <=> gamma(u) < 0"
"proglin 44a","base et coord u_k avec k notin J"
"proglin 44b","qqs k gamma(s_k) => x optimal"
"proglin 451","algo simplexe"
"proglin 452","terminaisons"
