"alglin25 I11","rg A-lambda I"
"alglin25 I12","spectre A: -2 ; 1"
"alglin25 I13","rg B-lambda I"
"alglin25 I14","spectre B: 2"
"alglin25 I21","vecteurs propre"
"alglin25 I22","base"
"alglin25 I23","pas vp commun"
"alglin25 I31","Im(b-2Id)=Vect(u_4)"
"alglin25 I32","dim noyau =2"
"alglin25 I41","Intersection noyaux = Vect(u_5)"
"alglin25 I42","Vect(u_5)non nuls seuls"
"alglin25 II1a1","matrice A"
"alglin25 II1a2","matrice B"
"alglin25 II1b1","[A;B]"
"alglin25 II1b2","[A^2;B]"
"alglin25 II1b3","rangs 2"
"alglin25 II2a","0 et pols de deg 0"
"alglin25 II2b","0 et pols de deg < i"
"alglin25 II3a1",bob=Id"
"alglin25 II3a2","donc vp = 1 ou -1"
"alglin25 II3b","pol propre => deg >= n"
"alglin25 II3c","images: egales opposées"
"alglin25 II4","vp comm ssi i>n"
"alglin25 III11","vpc => rg[a;b]<dim(E)"
"alglin25 III12","contre exple réciproque"
"alglin25 III2a","[a;b]=0=> H"
"alglin25 III2b1","noyau stable par b"
"alglin25 III2b2","existence vecteur propre commun"
"alglin25 III3","démontrer P_1"
"alglin25 III4a","exist u propre tq c(u)non nul"
"alglin25 III4b1","Im(c)=Vect(c(u))"
"alglin25 III4b2","en déduire Im(c)dans ..."
"alglin25 III4c","Im(a-lambdaId) stable par a et b"
"alglin25 III51","montrer P_n"
"alglin25 III52","exemple réciproque fausse"
