"polcoefbin I1","borné entre 1/e -1 et e-1"
"polcoefbin I2a1","0 entre 0 et k-1"
"polcoefbin I2a2","k parmi x si x>=K"
"polcoefbin I2a3","(-1)^k k parmi -x+k-1 si x<0"
"polcoefbin I2a4","Gamma_k(k)=1"
"polcoefbin I2a5","Gamma_k(-1)=(-1)^k"
"polcoefbin I2b","signe constant après ceil(x)" 
"polcoefbin I3a","somme = (1-1)^n = 0"
"polcoefbin I3b","somme (-1)^k\Gamma_k"
"polcoefbin I4a1","dl a = rho - u -1"
"polcoefbin I4a2","dl b = rho -(u+1)^2"
"polcoefbin I4b","équivalent pour \Gamma_n(u)"
"polcoefbin I4c1","discussion limite"
"polcoefbin I4c2","stationnaire nulle si u entier"
"polcoefbin II1","existence unique suite"
"polcoefbin II2","b^x -> (b-1)^n"
"polcoefbin II3a","zéros de dérivée de \phi"
"polcoefbin II3b","a_n = f^{(n)}(\lambda_n)"
"polcoefbin III11","a_0 = 1/l"
"polcoefbin III12","a_1 = -1/l(l+1)"
"polcoefbin III13","a_1 = 2/l(l+1)(l+2)"
"polcoefbin III2","expression r_n"
"polcoefbin III3a","(n+1+l)a_n = -(n+1)a_n"
"polcoefbin III3b","(n+1)a_n = -1/Gamma_{n+1}(-l)"
"polcoefbin III4","converge vers f(x)"
"polcoefbin IV1","zéro dér. n+1 Rolle"
"polcoefbin IV2","expression du reste"
"polcoefbin IV3","(r_n(u))_n converge vers 0"
"polcoefbin IV4","non nulle => cond. dériv. fausse"
"polcoefbin V11","A_n(u)=(-1)^n\Gamma_n(u-1)"
"polcoefbin V12","discussion lim (A_n(u))_n"
"polcoefbin V2a","monotone après ceil(u)"
"polcoefbin V2b","(A_n(u))_n convergente"
"polcoefbin V2c","cvge vers (1+h)^u"
"polcoefbin V3a","suites extraites adjacentes"
"polcoefbin V3b","convergente (hésit. fat.)"
"polcoefbin V3c","(1+h)^u entre val. consec. : cvgce"
"polcoefbin V4a","divergence"
"polcoefbin V4b","cvge 2^u"
